Scan started at 15:00:19 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.633994	-367.919	556.957	-23.4156	12.6176	0.441415	0.68065	0.0281035	
0.638986	-367.983	557.111	-23.1168	12.7155	0.751369	1.16124	0.029307	
0.643978	-367.87	557.028	-23.2468	12.8133	0.441882	0.677866	0.0275266	
0.64897	-367.809	556.867	-23.5472	12.9111	0.73587	1.13873	0.0295674	
0.653962	-367.928	556.943	-23.4085	13.0089	0.442056	0.681165	0.0266494	
0.658955	-367.989	557.113	-23.1107	13.1067	0.719354	1.11123	0.0282887	
0.663947	-367.869	557.042	-23.2525	13.2045	0.449176	0.692405	0.0267856	
0.668939	-367.802	556.882	-23.552	13.3023	0.699068	1.08035	0.028288	
0.673931	-367.913	556.958	-23.412	13.4001	0.455899	0.704412	0.0262557	
0.678923	-367.977	557.112	-23.1107	13.4979	0.680461	1.05095	0.0278781	
0.683915	-367.865	557.033	-23.242	13.5958	0.467332	0.722425	0.0267782	
0.688907	-367.804	556.87	-23.5325	13.6936	0.65615	1.01284	0.0272993	
0.693899	-367.922	556.942	-23.4078	13.7914	0.480717	0.742179	0.0257878	
0.698891	-367.981	557.11	-23.1233	13.8892	0.632496	0.97701	0.0271657	
0.703883	-367.866	557.042	-23.2529	13.987	0.49473	0.765249	0.0257877	
0.708875	-367.805	556.883	-23.5449	14.0848	0.608247	0.938454	0.0256501	
0.713867	-367.919	556.953	-23.4159	14.1826	0.507323	0.784064	0.0258756	
0.71886	-367.986	557.105	-23.1187	14.2804	0.581178	0.897667	0.0255058	
0.723852	-367.864	557.031	-23.2467	14.3782	0.524228	0.806354	0.0250477	
0.728844	-367.797	556.87	-23.5435	14.4761	0.554366	0.858636	0.0250289	
0.733836	-367.91	556.939	-23.4125	14.5739	0.535438	0.825601	0.0248832	
0.738828	-367.974	557.106	-23.1201	14.6717	0.528846	0.81651	0.0251601	
0.74382	-367.862	557.05	-23.2506	14.7695	0.548619	0.845955	0.0249552	
0.748812	-367.795	556.892	-23.5421	14.8673	0.501007	0.77398	0.0243555	
0.753804	-367.904	556.951	-23.4058	14.9651	0.558861	0.861604	0.0248826	
0.758796	-367.965	557.108	-23.1196	15.0629	0.476804	0.736517	0.0237025	
0.763788	-367.86	557.04	-23.2523	15.1607	0.568316	0.876891	0.0244957	
0.76878	-367.793	556.879	-23.5319	15.2585	0.449853	0.695566	0.0239799	
0.773772	-367.901	556.945	-23.4068	15.3564	0.576282	0.888065	0.0243449	
0.778764	-367.973	557.106	-23.1247	15.4542	0.427596	0.659328	0.0227269	
0.783757	-367.868	557.049	-23.246	15.552	0.580934	0.897907	0.0245927	
0.788749	-367.802	556.89	-23.5215	15.6498	0.406021	0.624782	0.0228334	
0.793741	-367.906	556.95	-23.4006	15.7476	0.585494	0.90463	0.0243249	
0.798733	-367.966	557.109	-23.124	15.8454	0.385402	0.593366	0.0222029	
0.803725	-367.861	557.049	-23.2482	15.9432	0.58803	0.907477	0.0233704	
0.808717	-367.805	556.882	-23.5269	16.041	0.367467	0.567222	0.0227513	
0.813709	-367.913	556.931	-23.402	16.1388	0.587318	0.907362	0.0232868	
0.818701	-367.974	557.1	-23.1245	16.2367	0.355428	0.546944	0.0210411	
0.823693	-367.873	557.062	-23.2452	16.3345	0.585148	0.90443	0.0236322	
0.828685	-367.813	556.902	-23.5214	16.4323	0.343227	0.528481	0.0219853	
0.833677	-367.91	556.939	-23.4059	16.5301	0.581572	0.897971	0.0227273	
0.838669	-367.967	557.096	-23.134	16.6279	0.337995	0.519823	0.0215065	
0.843661	-367.873	557.047	-23.2572	16.7257	0.575088	0.889073	0.0231294	
0.848654	-367.814	556.884	-23.5355	16.8235	0.333766	0.513023	0.0209033	
0.853646	-367.904	556.937	-23.4125	16.9213	0.567582	0.876908	0.0222821	
0.858638	-367.964	557.101	-23.124	17.0191	0.334336	0.514021	0.0208643	
0.86363	-367.876	557.058	-23.2372	17.117	0.557706	0.861627	0.0221981	
0.868622	-367.813	556.9	-23.5164	17.2148	0.33805	0.519692	0.019946	
0.873614	-367.903	556.94	-23.4036	17.3126	0.546241	0.844392	0.0221805	
0.878606	-367.967	557.097	-23.1361	17.4104	0.344244	0.529492	0.0205378	
0.883598	-367.878	557.056	-23.2521	17.5082	0.533584	0.823911	0.0213998	
0.88859	-367.815	556.889	-23.5215	17.606	0.351942	0.542294	0.0206296	
0.893582	-367.901	556.928	-23.4102	17.7038	0.518545	0.801397	0.0213025	
0.898574	-367.966	557.101	-23.1351	17.8016	0.363009	0.559018	0.0202162	
0.903566	-367.876	557.075	-23.2401	17.8994	0.503234	0.777552	0.0213555	
0.908559	-367.81	556.909	-23.5192	17.9973	0.373237	0.574986	0.0204382	
0.913551	-367.895	556.931	-23.4242	18.0951	0.485967	0.750449	0.0207271	
0.918543	-367.955	557.09	-23.1534	18.1929	0.386042	0.594399	0.0199937	
0.923535	-367.874	557.06	-23.2415	18.2907	0.468478	0.723405	0.0205713	
0.928527	-367.811	556.896	-23.505	18.3885	0.396846	0.613188	0.0197777	
0.933519	-367.887	556.926	-23.4205	18.4863	0.449855	0.693387	0.0200108	
0.938511	-367.96	557.094	-23.1573	18.5841	0.409168	0.631515	0.0198901	
0.943503	-367.887	557.071	-23.2355	18.6819	0.430659	0.664573	0.0197225	
0.948495	-367.815	556.908	-23.4987	18.7797	0.420423	0.648716	0.0195944	
0.953487	-367.889	556.931	-23.4221	18.8776	0.410624	0.634035	0.0195088	
0.958479	-367.958	557.092	-23.1579	18.9754	0.431729	0.666314	0.0195965	
0.963471	-367.891	557.066	-23.2311	19.0732	0.39115	0.603738	0.0188386	
0.968463	-367.826	556.904	-23.4982	19.171	0.440429	0.679861	0.0197452	
0.973456	-367.884	556.925	-23.4297	19.2688	0.371819	0.57401	0.0188196	
0.978448	-367.949	557.091	-23.1621	19.3666	0.449474	0.694169	0.019051	
0.98344	-367.889	557.079	-23.2261	19.4644	0.353247	0.54496	0.0187392	
0.988432	-367.819	556.917	-23.4921	19.5622	0.455929	0.704973	0.0194077	
0.993424	-367.877	556.928	-23.4313	19.66	0.336094	0.517236	0.0179272	
0.998416	-367.952	557.084	-23.1667	19.7579	0.46154	0.7135	0.0193944	
1.00341	-367.91	557.067	-23.2238	19.8557	0.319424	0.492617	0.0182702	
1.0084	-367.834	556.903	-23.4952	19.9535	0.466418	0.720605	0.0188332	
1.01339	-367.874	556.926	-23.444	20.0513	0.304648	0.469071	0.0179385	
1.01838	-367.953	557.095	-23.1724	20.1491	0.468326	0.723872	0.019213	
1.02338	-367.912	557.076	-23.2217	20.2469	0.292678	0.450455	0.0176122	
1.02837	-367.83	556.911	-23.4885	20.3447	0.47006	0.725879	0.0186836	
1.03336	-367.87	556.927	-23.442	20.4425	0.282201	0.434373	0.0172165	
1.03835	-367.951	557.086	-23.1742	20.5403	0.46873	0.724472	0.0189755	
1.04334	-367.912	557.069	-23.2178	20.6382	0.275797	0.423098	0.0171594	
1.04834	-367.83	556.903	-23.4849	20.736	0.466831	0.721244	0.018683	
1.05333	-367.866	556.918	-23.4436	20.8338	0.270439	0.416353	0.0171139	
1.05832	-367.947	557.09	-23.1726	20.9316	0.462689	0.714667	0.01848	
1.06331	-367.92	557.091	-23.2003	21.0294	0.269845	0.414352	0.016964	
1.06831	-367.835	556.926	-23.4829	21.1272	0.45725	0.706442	0.0183192	
1.0733	-367.852	556.927	-23.4655	21.225	0.270422	0.41634	0.0167599	
1.07829	-367.945	557.087	-23.1827	21.3228	0.450451	0.695502	0.018244	
1.08328	-367.928	557.07	-23.205	21.4206	0.274639	0.422174	0.0168352	
1.08827	-367.833	556.908	-23.4746	21.5185	0.441565	0.682426	0.0178666	
1.09327	-367.854	556.922	-23.4502	21.6163	0.280447	0.431884	0.0166183	
1.09826	-367.947	557.089	-23.1851	21.7141	0.432342	0.66734	0.0171198	
1.10325	-367.927	557.087	-23.2001	21.8119	0.287616	0.443674	0.0162758	
1.10824	-367.833	556.922	-23.4766	21.9097	0.420887	0.649921	0.0171705	
1.11323	-367.844	556.915	-23.4688	22.0075	0.297177	0.458049	0.0163088	
1.11823	-367.944	557.077	-23.1855	22.1053	0.408868	0.631347	0.0172053	
1.12322	-367.941	557.081	-23.196	22.2031	0.306666	0.473494	0.016434	
1.12821	-367.843	556.917	-23.4761	22.301	0.395516	0.610789	0.0168343	
1.1332	-367.844	556.915	-23.4636	22.3988	0.317426	0.489347	0.0162644	
1.13819	-367.936	557.084	-23.1832	22.4966	0.381598	0.589372	0.0167425	
1.14319	-367.928	557.093	-23.1875	22.5944	0.327596	0.505771	0.0163122	
1.14818	-367.831	556.922	-23.4677	22.6922	0.366828	0.566473	0.0163734	
1.15317	-367.832	556.908	-23.4713	22.79	0.338534	0.522083	0.0161203	
1.15816	-367.941	557.075	-23.1942	22.8878	0.351555	0.542957	0.0161839	
1.16315	-367.952	557.083	-23.1902	22.9856	0.347992	0.537424	0.016413	
1.16815	-367.846	556.916	-23.4667	23.0834	0.336477	0.518863	0.0157281	
1.17314	-367.835	556.91	-23.4761	23.1813	0.357551	0.552063	0.0163734	
1.17813	-367.934	557.087	-23.1904	23.2791	0.320799	0.494927	0.0155641	
1.18312	-367.944	557.101	-23.1749	23.3769	0.366048	0.565348	0.0159575	
1.18812	-367.843	556.932	-23.4696	23.4747	0.30558	0.4711	0.0160092	
1.19311	-367.825	556.914	-23.4885	23.5725	0.373628	0.576705	0.0159545	
1.1981	-367.931	557.07	-23.197	23.6703	0.290419	0.448474	0.0152852	
1.20309	-367.954	557.082	-23.1766	23.7681	0.380114	0.586827	0.0161212	
1.20808	-367.847	556.921	-23.4678	23.8659	0.276599	0.426515	0.0151584	
1.21308	-367.823	556.904	-23.4945	23.9637	0.385174	0.594998	0.0160176	
1.21807	-367.932	557.074	-23.1984	24.0616	0.263869	0.406522	0.0150296	
1.22306	-367.959	557.096	-23.1624	24.1594	0.389137	0.600961	0.0159848	
1.22805	-367.847	556.926	-23.4614	24.2572	0.252428	0.388723	0.0147542	
1.23304	-367.819	556.913	-23.5018	24.355	0.391554	0.605324	0.0158803	
1.23804	-367.934	557.08	-23.2022	24.4528	0.243067	0.373667	0.0146786	
1.24303	-367.961	557.091	-23.1578	24.5506	0.392667	0.607214	0.0159271	
1.24802	-367.845	556.922	-23.4514	24.6484	0.235512	0.361474	0.0145806	
1.25301	-367.814	556.907	-23.4933	24.7462	0.392518	0.606827	0.0154494	
1.258	-367.934	557.076	-23.201	24.844	0.230191	0.353947	0.0145264	
1.263	-367.967	557.094	-23.158	24.9419	0.391061	0.604454	0.0151804	
1.26799	-367.842	556.921	-23.4572	25.0397	0.226882	0.34908	0.0149476	
1.27298	-367.807	556.898	-23.5019	25.1375	0.388593	0.599054	0.0154831	
1.27797	-367.932	557.067	-23.1934	25.2353	0.226534	0.350045	0.0143736	
1.28296	-367.972	557.092	-23.1448	25.3331	0.383916	0.593434	0.01583	
1.28796	-367.843	556.929	-23.4506	25.4309	0.228558	0.351502	0.0137658	
1.29295	-367.803	556.903	-23.5082	25.5287	0.378455	0.5851	0.0151564	
1.29794	-367.929	557.072	-23.2056	25.6265	0.232405	0.357448	0.0142766	
1.30293	-367.974	557.1	-23.1447	25.7243	0.371859	0.574409	0.0154081	
1.30792	-367.845	556.935	-23.4478	25.8222	0.237999	0.366549	0.0140395	
1.31292	-367.797	556.906	-23.5059	25.92	0.363826	0.562232	0.0147415	
1.31791	-367.93	557.07	-23.2018	26.0178	0.245467	0.377338	0.0139071	
1.3229	-367.98	557.089	-23.1395	26.1156	0.354809	0.54844	0.0147856	
1.32789	-367.856	556.922	-23.4519	26.2134	0.253155	0.390015	0.0137077	
1.33289	-367.802	556.9	-23.5211	26.3112	0.344752	0.532899	0.0142787	
1.33788	-367.927	557.072	-23.2095	26.409	0.262277	0.404364	0.0140163	
1.34287	-367.98	557.106	-23.1447	26.5068	0.334361	0.515935	0.0144167	
1.34786	-367.844	556.932	-23.4584	26.6046	0.271203	0.418453	0.0139884	
1.35285	-367.795	556.894	-23.5228	26.7025	0.322881	0.498146	0.0143969	
1.35785	-367.937	557.062	-23.2113	26.8003	0.28088	0.43316	0.0137277	
1.36284	-367.991	557.097	-23.1389	26.8981	0.310491	0.479518	0.0140527	
1.36783	-367.846	556.927	-23.4501	26.9959	0.289864	0.44741	0.0139759	
1.37282	-367.787	556.902	-23.5283	27.0937	0.298111	0.459645	0.0138574	
1.37781	-367.933	557.077	-23.2052	27.1915	0.298685	0.461191	0.0138456	
1.38281	-367.998	557.105	-23.1263	27.2893	0.285352	0.439905	0.0136833	
1.3878	-367.853	556.929	-23.4566	27.3871	0.306748	0.474126	0.0136477	
1.39279	-367.79	556.89	-23.5372	27.4849	0.272388	0.419957	0.0132949	
1.39778	-367.932	557.071	-23.2138	27.5828	0.314596	0.485713	0.0136271	
1.40277	-367.993	557.105	-23.129	27.6806	0.259503	0.400642	0.0133561	
1.40777	-367.849	556.921	-23.443	27.7784	0.321354	0.496178	0.0135321	
1.41276	-367.789	556.889	-23.5313	27.8762	0.247538	0.381414	0.0130666	
1.41775	-367.938	557.071	-23.2027	27.974	0.326811	0.505066	0.0138289	
1.42274	-367.997	557.118	-23.1127	28.0718	0.235681	0.363623	0.0128933	
1.42773	-367.84	556.944	-23.4442	28.1696	0.331705	0.512606	0.0136144	
1.43273	-367.772	556.894	-23.5405	28.2674	0.225467	0.346708	0.0129467	
1.43772	-367.933	557.063	-23.2164	28.3652	0.334964	0.518176	0.0136617	
1.44271	-368.006	557.1	-23.121	28.4631	0.216074	0.332558	0.0126385	
1.4477	-367.85	556.927	-23.4504	28.5609	0.33761	0.522007	0.0136131	
1.4527	-367.786	556.892	-23.5433	28.6587	0.208229	0.320351	0.0129505	
1.45769	-367.943	557.069	-23.2114	28.7565	0.338771	0.523873	0.0133595	
1.46268	-368.004	557.115	-23.1082	28.8543	0.202148	0.31109	0.0126365	
1.46767	-367.842	556.938	-23.4432	28.9521	0.339201	0.524035	0.0136232	
1.47266	-367.779	556.888	-23.55	29.0499	0.198241	0.304919	0.012356	
1.47766	-367.946	557.062	-23.2173	29.1477	0.337841	0.522366	0.0133187	
1.48265	-368.015	557.103	-23.1129	29.2455	0.196387	0.301852	0.0122958	
1.48764	-367.851	556.931	-23.4399	29.3434	0.335855	0.518546	0.0134105	
1.49263	-367.777	556.886	-23.5521	29.4412	0.196407	0.302327	0.0123669	
1.49762	-367.937	557.064	-23.2148	29.539	0.33245	0.513424	0.0132087	
1.50262	-368.011	557.121	-23.1007	29.6368	0.19852	0.305441	0.0122727	
1.50761	-367.847	556.941	-23.452	29.7346	0.327861	0.506099	0.0132737	
1.5126	-367.768	556.885	-23.5699	29.8324	0.202649	0.311735	0.0120962	
1.51759	-367.937	557.057	-23.2255	29.9302	0.322047	0.497493	0.0130069	
1.52258	-368.021	557.108	-23.1062	30.028	0.208023	0.319808	0.0123959	
1.52758	-367.851	556.933	-23.44	30.1258	0.315455	0.487169	0.0129754	
1.53257	-367.772	556.883	-23.555	30.2237	0.214495	0.330361	0.0120071	
1.53756	-367.938	557.062	-23.2135	30.3215	0.307817	0.475212	0.0128613	
1.54255	-368.012	557.112	-23.0983	30.4193	0.222024	0.342086	0.0122538	
1.54754	-367.84	556.941	-23.4479	30.5171	0.299269	0.462181	0.0127681	
1.55254	-367.761	556.889	-23.5668	30.6149	0.229931	0.354577	0.011831	
1.55753	-367.941	557.045	-23.2197	30.7127	0.290156	0.447823	0.0123918	
1.56252	-368.022	557.092	-23.0908	30.8105	0.238277	0.367636	0.0123029	
1.56751	-367.838	556.931	-23.437	30.9083	0.280119	0.432522	0.0122456	
1.57251	-367.755	556.883	-23.569	31.0061	0.246626	0.38092	0.0120805	
1.5775	-367.937	557.055	-23.2169	31.104	0.269988	0.416339	0.0122533	
1.58249	-368.016	557.113	-23.0864	31.2018	0.254962	0.39365	0.0121899	
1.58748	-367.83	556.946	-23.4388	31.2996	0.258889	0.399783	0.0119696	
1.59247	-367.745	556.88	-23.5712	31.3974	0.263054	0.405875	0.0120595	
1.59747	-367.929	557.042	-23.222	31.4952	0.247915	0.382841	0.0118945	
1.60246	-368.018	557.103	-23.0819	31.593	0.270447	0.417286	0.0121858	
1.60745	-367.841	556.936	-23.4317	31.6908	0.236657	0.365705	0.0118684	
1.61244	-367.758	556.884	-23.5669	31.7886	0.27751	0.427789	0.0121579	
1.61743	-367.937	557.055	-23.2134	31.8864	0.226225	0.348951	0.0118374	
