Scan started at 15:02:45 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
1.36284	-367.791	557.023	-23.4336	26.8981	0.33764	0.486266	0.0228261	
1.36783	-367.858	557.17	-23.2093	26.9959	0.318772	0.455061	0.0223423	
1.37282	-367.611	556.993	-23.4913	27.0937	0.326014	0.46715	0.0221814	
1.37781	-367.542	556.847	-23.7039	27.1915	0.326156	0.468313	0.0222252	
1.38281	-367.79	557.027	-23.4209	27.2893	0.313932	0.447775	0.0221678	
1.3878	-367.868	557.169	-23.2135	27.3871	0.333508	0.480778	0.02218	
1.39279	-367.61	556.998	-23.5031	27.4849	0.302053	0.427829	0.022125	
1.39778	-367.535	556.858	-23.7236	27.5828	0.340186	0.49254	0.0218365	
1.40277	-367.794	557.03	-23.441	27.6806	0.28997	0.408357	0.0218185	
1.40777	-367.869	557.175	-23.2203	27.7784	0.346075	0.502621	0.022152	
1.41276	-367.613	557	-23.499	27.8762	0.278724	0.38968	0.0214083	
1.41775	-367.533	556.859	-23.7144	27.974	0.351217	0.511317	0.0220221	
1.42274	-367.785	557.036	-23.4335	28.0718	0.268159	0.372332	0.0213174	
1.42773	-367.86	557.176	-23.2119	28.1696	0.355112	0.518514	0.0216463	
1.43273	-367.607	556.998	-23.4912	28.2674	0.258376	0.355888	0.021299	
1.43772	-367.535	556.851	-23.713	28.3652	0.358369	0.523841	0.0214517	
1.44271	-367.793	557.023	-23.4376	28.4631	0.249968	0.341677	0.021189	
1.4477	-367.869	557.165	-23.2223	28.5609	0.36023	0.527745	0.0212319	
1.4527	-367.615	556.993	-23.493	28.6587	0.242808	0.329777	0.0209117	
1.45769	-367.54	556.859	-23.6961	28.7565	0.36133	0.529605	0.0213279	
1.46268	-367.789	557.036	-23.416	28.8543	0.237268	0.320682	0.0208466	
1.46767	-367.856	557.18	-23.2093	28.9521	0.361049	0.529738	0.021235	
1.47266	-367.615	557.005	-23.4965	29.0499	0.233482	0.314254	0.0207202	
1.47766	-367.547	556.857	-23.7176	29.1477	0.359801	0.528102	0.0212731	
1.48265	-367.79	557.031	-23.4395	29.2455	0.231513	0.311219	0.0207207	
1.48764	-367.866	557.174	-23.2128	29.3434	0.357502	0.524334	0.0209193	
1.49263	-367.62	556.999	-23.4864	29.4412	0.23099	0.311598	0.0202137	
1.49762	-367.541	556.858	-23.7076	29.539	0.353929	0.518892	0.0205613	
1.50262	-367.787	557.031	-23.4319	29.6368	0.232694	0.315147	0.0205721	
1.50761	-367.86	557.177	-23.215	29.7346	0.349287	0.511917	0.0204314	
1.5126	-367.608	557	-23.4938	29.8324	0.235585	0.320487	0.0202365	
1.51759	-367.537	556.85	-23.7136	29.9302	0.343883	0.503157	0.0207002	
1.52258	-367.786	557.021	-23.4409	30.028	0.239797	0.328453	0.0199797	
1.52758	-367.864	557.17	-23.2167	30.1258	0.337401	0.493145	0.0206308	
1.53257	-367.621	556.996	-23.4849	30.2237	0.244944	0.338283	0.0197879	
1.53756	-367.544	556.851	-23.702	30.3215	0.329936	0.481159	0.0204192	
1.54255	-367.787	557.026	-23.4284	30.4193	0.251595	0.349888	0.0197463	
1.54754	-367.855	557.167	-23.2228	30.5171	0.321673	0.468078	0.0200988	
1.55254	-367.614	556.993	-23.5022	30.6149	0.258365	0.362146	0.0196967	
1.55753	-367.545	556.852	-23.717	30.7127	0.31282	0.453978	0.0198672	
1.56252	-367.79	557.029	-23.4442	30.8105	0.265754	0.374792	0.0196324	
1.56751	-367.865	557.179	-23.2231	30.9083	0.3036	0.438581	0.0199122	
